policy_number,effective_date,expiration_date,state,county,zip,occupancy,construction,foundation,roof_type,roof_condition,year_built,stories,square_feet,protection_class,alarm_type,flood_zone,distance_to_coast_mi,wildfire_score_0_100,hail_score_0_100,hurricane_score_0_100,crime_index_0_100,prior_claims_5yr,covA_dwelling,covB_other_structures,covC_personal_property,covD_loss_of_use,deductible_all_peril,water_backup_limit,ordinance_or_law_pct,written_premium_total,premium_fire,premium_wind,premium_hail,premium_water,premium_theft_liability,expected_loss,expected_loss_ratio,expense_ratio,target_profit_ratio,indicated_premium,uw_tier
HO2026000742,2023-07-10,2024-07-04,IL,Marion,94956,OwnerOccupied,MobileHome,Crawlspace,Metal,Good,2006,3,2273,7,None,AE,26.0,23,65,38,35,0,264000,32000,121000,51000,2500,25000,25,1222.31,540.78,385.03,254.65,244.46,0.0,698.1,0.571,0.314,0.059,1114.39,Standard
HO2026000743,2023-05-20,2024-05-14,NJ,Union,84590,OwnerOccupied,Masonry,Slab,Tile,New,1976,1,1523,6,BurglarAndFire,X,27.8,37,70,21,60,0,223000,25000,111000,38000,2000,0,10,629.29,272.53,171.48,136.35,75.52,0.0,482.58,0.767,0.288,0.054,733.29,Preferred
HO2026000744,2021-03-24,2022-03-19,NY,Franklin,52353,OwnerOccupied,Masonry,Basement,AsphaltShingle,Good,1956,1,1642,7,Fire,X,2.3,34,39,5,61,0,263000,32000,174000,64000,2000,0,25,1006.15,363.48,233.93,166.02,120.74,121.99,916.27,0.911,0.292,0.085,1470.72,Preferred
HO2026000745,2021-11-04,2022-10-30,SC,Grant,33780,Vacant,Frame,Slab,FlatMembrane,,1980,1,3056,1,Burglar,X,10.5,0,71,7,46,0,525000,71000,244000,103000,2000,0,25,2903.39,1015.81,689.56,633.91,348.41,215.71,1787.76,0.616,0.206,0.063,2443.67,Preferred
HO2026000746,2024-01-30,2025-01-24,PA,Lincoln,37155,TenantOccupied,Superior,Crawlspace,WoodShake,Poor,1945,1,2045,8,BurglarAndFire,AE,33.2,41,0,9,51,0,529000,68000,301000,143000,2000,0,25,2751.77,1259.51,667.3,275.18,550.35,0.0,1599.63,0.581,0.307,0.068,2558.89,Preferred
HO2026000747,2023-08-09,2024-08-03,AZ,Wayne,60585,Vacant,Masonry,Basement,Tile,Fair,2015,1,3171,3,BurglarAndFire,AE,21.9,38,0,15,57,0,523000,68000,331000,131000,2500,0,10,1995.27,983.51,513.78,199.53,399.05,0.0,1224.05,0.613,0.373,0.049,2115.84,Standard
HO2026000748,2022-12-19,2023-12-14,LA,Grant,10611,OwnerOccupied,Frame,Piers,Tile,Fair,1996,1,2392,7,Fire,AE,3.5,42,68,6,76,0,315000,33000,199000,55000,2000,0,10,2504.48,1274.61,588.55,534.29,500.9,0.0,1192.69,0.476,0.286,0.06,1823.86,Standard
HO2026000749,2023-06-21,2024-06-15,LA,Cleveland,11304,Vacant,MobileHome,Slab,WoodShake,Fair,1972,1,1492,5,BurglarAndFire,AE,15.7,33,49,23,58,1,179000,18000,94000,32000,2000,0,25,3326.41,1227.31,923.08,604.3,665.28,0.0,2429.9,0.73,0.367,0.061,4247.88,NonStandard
HO2026000750,2022-11-20,2023-11-15,LA,Grant,28679,SecondarySeasonal,Superior,Basement,AsphaltShingle,Poor,1942,1,2379,1,None,X,72.9,64,57,77,41,0,692000,73000,442000,166000,2000,25000,25,5219.37,1738.68,2152.99,1017.78,626.32,0.0,3607.57,0.691,0.35,0.052,6030.15,Standard
HO2026000751,2022-11-17,2023-05-16,LA,Lincoln,23598,OwnerOccupied,MobileHome,Basement,WoodShake,Fair,2019,1,1715,6,Fire,VE,17.1,27,59,0,39,0,171000,22000,93000,33000,2500,0,10,1077.69,458.26,237.09,213.74,215.54,0.0,588.32,0.546,0.301,0.073,940.11,Preferred
HO2026000752,2024-06-13,2025-06-08,CO,Cleveland,71053,OwnerOccupied,Superior,Crawlspace,WoodShake,Fair,2011,1,998,7,BurglarAndFire,VE,65.0,36,69,18,33,1,151000,16000,72000,32000,2000,25000,25,816.71,307.98,216.43,175.59,163.34,0.0,458.19,0.561,0.373,0.062,812.35,Standard
HO2026000753,2021-11-02,2022-10-28,LA,Cleveland,22494,OwnerOccupied,Masonry,Crawlspace,Metal,New,2025,1,3173,2,Fire,VE,13.0,18,29,0,69,0,702000,73000,312000,113000,5000,0,25,2032.04,995.9,447.05,301.42,406.41,0.0,948.06,0.467,0.338,0.026,1490.61,Preferred
HO2026000754,2025-03-30,2026-03-25,CA,Union,72303,Vacant,Superior,Slab,Metal,Good,1985,1,2394,4,Fire,AE,59.6,53,44,31,55,0,492000,64000,185000,140000,2500,0,10,3001.82,1245.66,893.04,520.32,600.36,0.0,2024.92,0.675,0.342,0.054,3349.42,Standard
HO2026000755,2022-12-04,2023-11-29,OR,Madison,46499,Vacant,Superior,Basement,Metal,New,1957,1,2768,1,Burglar,X,7.5,70,1,40,46,0,655000,71000,380000,156000,5000,0,10,2695.29,917.44,862.49,274.02,323.43,317.9,1833.47,0.68,0.265,0.05,2677.59,Standard
HO2026000756,2024-09-28,2025-09-23,OH,Monroe,33987,TenantOccupied,Masonry,Crawlspace,Tile,New,1974,2,2202,5,Burglar,X,114.6,44,34,20,48,1,446000,55000,194000,93000,1000,0,25,1592.56,745.54,429.99,249.5,191.11,0.0,983.52,0.618,0.204,0.056,1328.77,Preferred
HO2026000757,2025-04-01,2026-03-27,CA,Clay,67582,SecondarySeasonal,MobileHome,Basement,Tile,,1942,1,905,7,BurglarAndFire,AE,9.2,60,47,2,21,0,93000,13000,62000,19000,2500,0,10,948.97,421.01,213.52,169.23,189.79,0.0,561.81,0.592,0.35,0.078,983.67,Standard
HO2026000758,2024-08-20,2025-08-15,TN,Benton,87472,TenantOccupied,Masonry,Piers,AsphaltShingle,,1953,1,1624,8,Fire,VE,19.6,16,85,2,60,0,371000,46000,139000,80000,1000,5000,10,2073.6,735.15,466.56,456.19,414.72,0.98,622.08,0.3,0.4,0.061,1155.12,Preferred
HO2026000759,2025-06-25,2026-06-20,GA,Union,16583,TenantOccupied,Masonry,Slab,AsphaltShingle,Poor,1957,1,1189,8,BurglarAndFire,AE,7.1,43,35,61,78,0,210000,17000,126000,56000,5000,10000,25,1465.11,703.35,545.75,231.98,293.02,0.0,1107.87,0.756,0.206,0.074,1539.57,Standard
HO2026000760,2021-03-16,2022-03-11,PA,Marion,72807,OwnerOccupied,Frame,Basement,Tile,New,1973,1,2503,5,,VE,34.6,31,38,21,52,0,568000,56000,337000,116000,1000,0,50,1961.21,751.6,534.43,320.33,392.24,0.0,1415.58,0.722,0.259,0.033,1999.13,Preferred
HO2026000761,2023-05-06,2024-04-30,PA,Cleveland,75943,Vacant,Frame,Slab,AsphaltShingle,Poor,1970,1,3795,3,None,AE,82.2,22,63,16,21,0,525000,50000,251000,111000,1000,0,10,3843.91,1746.49,999.42,788.0,768.78,0.0,3486.4,0.907,0.265,0.06,5163.69,Standard
HO2026000762,2021-11-22,2022-11-17,CO,Lake,40506,OwnerOccupied,MobileHome,Basement,WoodShake,New,2021,1,2172,5,Fire,AE,29.8,33,46,13,53,0,307000,43000,109000,68000,1000,10000,10,1450.95,476.56,366.37,256.34,290.19,61.5,867.45,0.598,0.28,0.096,1390.66,Preferred
HO2026000763,2021-05-12,2022-05-07,TX,Wayne,23430,TenantOccupied,Masonry,Slab,Metal,Fair,1959,1,1410,8,None,VE,23.7,21,43,100,34,0,235000,23000,94000,62000,2000,10000,25,2502.56,1141.76,1126.15,429.61,500.51,0.0,915.05,0.366,0.21,0.067,1265.5,Standard
HO2026000764,2022-08-11,2023-08-06,SC,Union,12793,Vacant,MobileHome,Slab,AsphaltShingle,Fair,1966,1,1654,6,BurglarAndFire,AE,18.7,50,31,32,50,1,235000,33000,175000,46000,1000,5000,25,3981.42,1433.91,1194.43,603.85,796.28,0.0,2289.07,0.575,0.273,0.066,3463.61,NonStandard
HO2026000765,2025-05-08,2025-11-04,NJ,Wayne,28927,OwnerOccupied,MobileHome,Slab,FlatMembrane,Fair,1963,2,1895,7,Burglar,AE,8.3,38,21,5,65,0,160000,16000,109000,31000,10000,0,10,1201.2,531.94,279.28,162.16,240.24,0.0,695.52,0.579,0.298,0.078,1114.59,Preferred
HO2026000766,2023-01-23,2024-01-18,TN,Union,41123,Vacant,Frame,Piers,WoodShake,Poor,1985,1,2967,8,None,VE,43.4,34,38,14,30,0,680000,94000,302000,158000,2000,10000,10,5676.14,2031.49,1447.41,927.1,1135.23,134.9,2638.87,0.465,0.254,0.07,3900.61,Standard
HO2026000767,2023-06-01,2024-05-26,FL,Lincoln,46111,TenantOccupied,MobileHome,Basement,Tile,Good,1949,1,2414,10,None,AE,13.8,17,53,5,12,0,280000,33000,206000,63000,1000,25000,10,3476.11,1471.54,808.2,654.67,695.22,0.0,2164.53,0.623,0.311,0.028,3273.95,Preferred
HO2026000768,2022-11-26,2023-05-25,NY,Washington,84382,Vacant,MobileHome,Basement,Tile,Fair,1985,1,3133,9,Burglar,X,5.5,18,56,0,46,0,235000,19000,154000,64000,2500,5000,25,2153.24,778.8,473.71,416.29,258.39,226.04,1384.01,0.643,0.323,0.054,2221.02,Standard
HO2026000769,2024-07-22,2025-07-17,NJ,Monroe,10575,OwnerOccupied,Masonry,Slab,Tile,Poor,2019,2,2671,10,Burglar,X,22.8,56,20,29,48,0,666000,74000,474000,104000,1000,0,25,2519.87,836.91,737.06,335.98,302.38,307.53,1458.38,0.579,0.316,0.048,2293.4,Standard
HO2026000770,2024-12-31,2025-12-26,PA,Madison,56382,SecondarySeasonal,Masonry,Piers,FlatMembrane,New,2004,1,2442,5,Fire,VE,95.6,72,33,21,51,0,481000,53000,287000,99000,2000,0,25,2051.07,843.31,558.92,317.92,410.21,0.0,1887.31,0.92,0.298,0.035,2831.9,Standard
HO2026000771,2021-02-14,2022-02-09,LA,Washington,34539,Vacant,Superior,Basement,FlatMembrane,New,1940,2,2189,7,None,X,4.9,40,24,66,41,0,355000,34000,141000,54000,5000,0,10,3016.26,1059.73,1161.26,422.28,361.95,11.04,2128.45,0.706,0.265,0.031,3021.83,Standard
HO2026000772,2021-06-04,2022-05-30,MI,Clay,93283,Vacant,Superior,Piers,FlatMembrane,New,1943,2,1499,7,None,AE,27.8,10,57,24,23,0,286000,32000,182000,49000,5000,0,10,1864.75,963.79,522.13,363.63,372.95,0.0,1143.67,0.613,0.237,0.047,1597.49,Standard
HO2026000773,2022-04-04,2023-03-30,FL,Jackson,79735,OwnerOccupied,MobileHome,Piers,AsphaltShingle,Poor,1964,1,2609,9,Burglar,X,16.7,40,16,1,49,0,370000,48000,215000,61000,5000,0,10,4678.79,1716.97,1041.03,592.65,561.45,766.68,2946.05,0.63,0.276,0.083,4594.91,Preferred
HO2026000774,2025-07-28,2026-07-23,TX,Lake,89465,SecondarySeasonal,Masonry,Basement,Tile,New,1970,1,1390,2,Fire,X,7.6,47,40,0,83,1,363000,44000,207000,66000,2000,25000,10,2341.74,972.4,515.18,390.29,281.01,182.86,1561.03,0.667,0.304,0.06,2454.28,Preferred
HO2026000775,2024-10-01,2025-09-26,CO,Marion,16229,TenantOccupied,Superior,Piers,Metal,Fair,1968,1,2139,7,Burglar,X,41.9,28,25,32,48,0,495000,54000,296000,146000,2500,25000,25,2454.17,1105.64,736.25,347.67,294.5,0.0,1463.41,0.596,0.279,0.108,2385.17,Preferred
HO2026000776,2021-05-09,2022-05-04,TX,Marion,94944,SecondarySeasonal,MobileHome,Slab,Metal,Good,1983,1,2168,2,None,AE,8.7,14,15,61,63,0,354000,39000,124000,83000,1000,5000,10,3379.27,1366.0,1258.78,422.41,675.85,0.0,1678.44,0.497,0.207,0.079,2349.65,Standard
HO2026000777,2024-04-28,2025-04-23,SC,Grant,99406,OwnerOccupied,Masonry,Piers,WoodShake,Poor,1959,2,1665,8,Burglar,VE,9.3,59,23,48,36,0,370000,48000,169000,104000,2000,0,25,3773.59,1927.96,1283.02,522.01,754.72,0.0,2470.35,0.655,0.286,0.038,3652.97,Standard
HO2026000778,2021-01-05,2021-12-31,WA,Lincoln,73376,Vacant,Superior,Piers,AsphaltShingle,Poor,2022,1,949,1,Burglar,VE,53.1,72,33,4,53,1,205000,30000,86000,38000,1000,0,10,1242.66,572.65,285.81,192.61,248.53,0.0,862.84,0.694,0.271,0.07,1309.19,NonStandard
HO2026000779,2022-04-19,2023-04-14,OR,Franklin,68812,OwnerOccupied,MobileHome,Basement,AsphaltShingle,Fair,1953,1,3162,7,,AE,49.7,38,10,29,55,0,466000,37000,263000,96000,2500,0,10,3306.32,1352.55,967.1,385.74,661.26,0.0,2708.7,0.819,0.336,0.042,4358.18,Preferred
HO2026000780,2026-02-10,2026-08-09,NY,Grant,33667,Vacant,Masonry,Piers,AsphaltShingle,New,1954,2,1601,8,Fire,X,9.0,46,30,19,40,0,313000,32000,186000,90000,1000,0,10,1820.91,814.75,487.09,273.14,218.51,27.42,1231.95,0.677,0.399,0.053,2247.37,Preferred
HO2026000781,2021-01-21,2022-01-16,CA,Marion,82260,Vacant,Masonry,Crawlspace,FlatMembrane,Good,1945,1,3218,10,None,VE,7.8,74,47,33,33,0,802000,90000,328000,183000,2500,0,25,10809.5,3160.73,3269.87,1927.69,2161.9,289.3,6094.13,0.564,0.249,0.053,8737.81,NonStandard
HO2026000782,2022-06-02,2023-05-28,OH,Lincoln,96929,Vacant,Frame,Slab,WoodShake,Good,1975,2,1471,5,Fire,VE,60.4,31,45,2,45,0,231000,24000,86000,37000,1000,0,25,1484.63,736.15,334.04,259.81,296.93,0.0,1038.51,0.7,0.244,0.053,1478.2,Standard
HO2026000783,2025-10-30,2026-10-25,LA,Jefferson,58704,SecondarySeasonal,Frame,Crawlspace,Metal,Fair,1988,1,2530,7,BurglarAndFire,AE,27.9,48,40,75,23,0,363000,29000,213000,82000,5000,5000,10,3169.72,1301.41,1291.66,528.29,633.94,0.0,1756.99,0.554,0.198,0.055,2350.77,Standard
HO2026000784,2023-12-25,2024-12-19,AZ,Madison,49363,TenantOccupied,MobileHome,Piers,Metal,Good,1972,1,1767,6,None,AE,29.9,57,35,7,44,0,248000,24000,91000,57000,2000,0,10,1696.77,694.98,402.98,268.65,339.35,0.0,1195.02,0.704,0.291,0.068,1864.01,Preferred
HO2026000785,2022-06-20,2023-06-15,PA,Lincoln,85432,TenantOccupied,Masonry,Basement,Metal,Good,1980,2,1213,5,Fire,X,50.6,9,22,7,41,0,238000,25000,164000,58000,10000,5000,50,627.81,348.29,149.11,85.8,75.34,0.0,317.2,0.505,0.247,0.074,467.09,Preferred
HO2026000786,2024-09-08,2025-09-03,AZ,Madison,30742,TenantOccupied,Frame,Slab,FlatMembrane,Good,1992,1,2904,8,BurglarAndFire,AE,13.4,76,38,27,46,0,504000,58000,213000,111000,2000,10000,10,3025.74,1155.4,869.9,494.2,605.15,0.0,1322.4,0.437,0.286,0.05,1991.14,Standard
HO2026000787,2021-03-24,2022-03-19,OH,Lake,45970,TenantOccupied,MobileHome,Crawlspace,Metal,Good,1959,3,2392,7,Fire,VE,31.2,33,48,0,19,1,242000,23000,132000,40000,5000,5000,10,1578.62,765.98,347.3,284.15,315.72,0.0,984.75,0.624,0.283,0.071,1525.37,Preferred
HO2026000788,2023-09-10,2024-09-04,MI,Benton,68035,SecondarySeasonal,Masonry,Piers,Metal,New,1960,1,2838,8,BurglarAndFire,AE,42.5,80,44,35,39,0,662000,87000,238000,159000,1000,5000,25,2612.67,947.08,803.4,452.86,522.53,0.0,1555.74,0.595,0.335,0.023,2425.68,Standard
HO2026000789,2025-12-19,2026-12-14,SC,Union,60058,TenantOccupied,Frame,Slab,Tile,Fair,1988,2,3090,4,Burglar,VE,10.7,10,64,4,51,0,579000,51000,236000,161000,1000,0,10,5360.55,2246.79,1232.93,1107.85,1072.11,0.0,2795.08,0.521,0.258,0.03,3923.91,Preferred
HO2026000790,2024-02-01,2025-01-26,AZ,Marion,55864,SecondarySeasonal,Masonry,Crawlspace,AsphaltShingle,,1955,1,2607,6,BurglarAndFire,VE,86.1,17,9,4,50,0,468000,64000,216000,126000,10000,0,10,2166.91,913.64,498.39,249.19,433.38,72.31,1313.44,0.606,0.238,0.099,1979.66,Preferred
HO2026000791,2024-02-25,2025-02-19,TX,Madison,20755,OwnerOccupied,Masonry,Crawlspace,AsphaltShingle,Poor,1983,1,1902,4,Fire,AE,11.5,53,45,59,66,0,385000,52000,266000,71000,2000,0,10,3044.41,1279.86,1118.82,532.77,608.88,0.0,1868.93,0.614,0.215,0.078,2643.48,Standard
HO2026000792,2023-03-30,2024-03-24,CA,Jefferson,66548,TenantOccupied,MobileHome,Slab,Metal,Good,1958,2,1291,7,Fire,X,2.0,7,37,4,46,0,204000,19000,71000,53000,2000,10000,10,1303.66,522.49,299.84,210.76,156.44,114.13,916.9,0.703,0.244,0.038,1277.37,Preferred
HO2026000793,2022-06-05,2022-12-02,OH,Washington,20546,Vacant,Frame,Slab,Metal,Fair,1965,2,2367,7,Fire,VE,104.4,24,30,20,39,0,415000,55000,296000,81000,1000,10000,10,2194.85,960.55,592.61,329.23,438.97,0.0,1634.2,0.745,0.267,0.04,2357.56,Standard
HO2026000794,2023-12-10,2024-12-04,VA,Wayne,98358,Vacant,Masonry,Basement,AsphaltShingle,New,1959,2,3524,3,None,VE,7.9,34,36,17,34,0,632000,59000,260000,115000,1000,0,10,3191.31,1237.69,837.72,510.61,638.26,0.0,1944.59,0.609,0.283,0.06,2958.72,Standard
HO2026000795,2023-01-12,2024-01-07,NC,Benton,19733,TenantOccupied,Frame,Basement,Metal,New,2023,2,1556,4,None,AE,16.9,27,54,55,62,0,289000,37000,126000,69000,5000,0,10,1351.74,593.83,483.25,256.83,270.35,0.0,875.82,0.648,0.278,0.068,1339.96,Standard
HO2026000796,2021-01-29,2022-01-24,CA,Wayne,95806,TenantOccupied,Superior,Piers,FlatMembrane,Good,2015,1,600,6,BurglarAndFire,VE,30.9,17,36,20,50,0,93000,11000,67000,15000,5000,10000,10,450.0,212.33,121.5,72.0,90.0,0.0,318.04,0.707,0.292,0.066,495.63,Preferred
HO2026000797,2024-10-24,2025-10-19,OR,Jackson,62863,TenantOccupied,MobileHome,Crawlspace,WoodShake,Fair,1943,1,1617,4,Burglar,X,6.3,17,30,43,29,0,211000,26000,78000,54000,5000,5000,10,1908.19,799.31,624.93,286.23,228.98,0.0,1108.73,0.581,0.218,0.045,1505.04,Preferred
HO2026000798,2023-07-23,2024-07-17,OH,Lake,97767,SecondarySeasonal,Frame,Slab,FlatMembrane,Good,1994,1,2685,2,Fire,X,4.5,22,51,33,34,0,361000,34000,203000,93000,2000,0,25,1449.78,742.88,438.56,268.21,173.97,0.0,672.55,0.464,0.266,0.053,988.19,Preferred
HO2026000799,2023-07-25,2024-07-19,PA,Clay,29934,TenantOccupied,Superior,Basement,FlatMembrane,New,1976,1,3026,3,Fire,VE,20.6,38,47,31,58,0,802000,102000,597000,149000,1000,5000,25,2886.41,1254.47,858.71,514.74,577.28,0.0,1858.85,0.644,0.237,0.045,2589.54,Standard
HO2026000800,2022-03-13,2023-03-08,CA,Wayne,74450,TenantOccupied,Frame,Basement,AsphaltShingle,New,1969,1,1674,7,None,VE,5.1,100,41,10,35,0,329000,31000,233000,93000,2000,10000,10,2836.36,1120.3,694.91,477.45,567.27,0.0,1455.18,0.513,0.26,0.051,2112.2,Standard
HO2026000801,2025-08-04,2026-07-30,SC,Grant,60773,OwnerOccupied,MobileHome,Slab,Tile,Poor,1950,1,873,7,Burglar,X,61.8,38,38,34,34,0,110000,15000,40000,31000,10000,0,25,1068.87,479.31,326.01,174.58,128.26,0.0,816.68,0.764,0.294,0.053,1249.86,Preferred
HO2026000802,2022-10-02,2023-09-27,CA,Lake,20421,TenantOccupied,Frame,Piers,Tile,New,2000,2,2283,2,BurglarAndFire,AE,8.5,46,55,17,51,0,393000,38000,197000,66000,5000,0,10,2083.39,1063.14,546.89,399.32,416.68,0.0,1018.72,0.489,0.289,0.051,1543.49,Preferred
HO2026000803,2021-09-10,2022-09-05,TN,Greene,64376,TenantOccupied,Superior,Slab,Tile,Poor,2002,3,2079,1,Fire,X,29.3,52,11,17,43,0,418000,54000,201000,66000,1000,10000,50,1336.2,530.11,350.75,158.12,160.34,136.87,811.01,0.607,0.348,0.048,1344.04,Preferred
HO2026000804,2022-09-29,2023-09-24,FL,Clay,93612,TenantOccupied,Masonry,Basement,FlatMembrane,Good,2019,2,2801,3,Fire,AE,6.6,15,67,15,49,0,549000,59000,222000,87000,5000,0,10,3777.06,1350.41,972.59,799.48,755.41,0.0,2091.01,0.554,0.299,0.056,3238.1,Preferred
HO2026000805,2024-10-07,2025-10-02,VA,Benton,82581,OwnerOccupied,MobileHome,Piers,AsphaltShingle,Poor,2000,2,1677,7,Fire,VE,74.6,40,49,32,48,0,173000,14000,66000,39000,1000,10000,10,1155.83,507.54,346.75,209.98,231.17,0.0,639.29,0.553,0.231,0.086,934.99,Standard
HO2026000806,2023-06-26,2024-06-20,NJ,Lincoln,23420,OwnerOccupied,Masonry,Piers,AsphaltShingle,Poor,1988,3,2905,4,Fire,AE,333.3,62,5,0,43,0,462000,40000,246000,95000,2500,0,25,1515.5,443.74,333.41,164.18,303.1,271.07,946.68,0.625,0.275,0.055,1412.27,Preferred
HO2026000807,2025-04-14,2026-04-09,GA,Benton,34145,SecondarySeasonal,MobileHome,Slab,Tile,Fair,2006,2,1473,10,None,X,2.3,32,43,29,47,1,216000,29000,155000,56000,2000,0,10,2902.41,1218.78,848.95,498.25,348.29,0.0,2215.04,0.763,0.233,0.049,3084.49,Standard
HO2026000808,2022-09-19,2023-09-14,PA,Grant,28080,OwnerOccupied,Superior,Basement,WoodShake,Poor,2018,1,2748,4,Burglar,X,11.1,25,24,16,39,0,480000,43000,356000,131000,1000,5000,10,1299.56,603.42,337.89,181.94,155.95,20.37,739.84,0.569,0.328,0.051,1192.96,Preferred
HO2026000809,2021-01-27,2022-01-22,CO,Greene,37598,SecondarySeasonal,Frame,Slab,Metal,Good,2008,2,2160,4,Burglar,AE,71.1,44,28,29,60,1,324000,42000,180000,96000,1000,5000,10,1487.76,650.53,435.17,218.21,297.55,0.0,673.21,0.452,0.35,0.053,1127.77,Standard
HO2026000810,2021-04-07,2021-10-04,MI,Franklin,65073,SecondarySeasonal,Masonry,Basement,Tile,Good,1953,1,2131,4,Fire,VE,41.2,30,32,37,40,0,424000,42000,314000,93000,2500,5000,25,1450.89,791.51,453.4,222.47,290.18,0.0,908.3,0.626,0.23,0.065,1288.25,Preferred
HO2026000811,2023-05-09,2024-05-03,OH,Monroe,81942,Vacant,MobileHome,Piers,FlatMembrane,Good,1978,2,1650,2,None,AE,12.1,58,28,0,34,1,230000,32000,103000,56000,1000,0,10,1632.34,611.69,359.12,239.41,326.47,95.66,771.31,0.473,0.287,0.059,1179.05,Standard
HO2026000812,2025-03-09,2026-03-04,NC,Benton,89604,OwnerOccupied,Superior,Crawlspace,WoodShake,Good,1983,1,3222,5,Burglar,X,158.5,25,26,28,29,0,516000,66000,376000,97000,1000,5000,10,2637.83,1165.33,764.97,378.09,316.54,12.9,1592.51,0.604,0.29,0.071,2492.7,Preferred
HO2026000813,2025-07-11,2026-07-06,TN,Franklin,59293,TenantOccupied,Superior,Piers,FlatMembrane,Poor,1942,2,2297,10,None,X,15.6,38,70,21,33,1,613000,59000,418000,174000,1000,5000,10,4627.56,2086.47,1261.01,1002.64,555.31,0.0,2406.88,0.52,0.302,0.044,3679.13,Standard
HO2026000814,2026-02-01,2027-01-27,LA,Jackson,13568,TenantOccupied,Masonry,Piers,FlatMembrane,Poor,1990,1,2602,3,Fire,X,41.2,31,37,49,52,0,544000,47000,313000,106000,2000,0,25,4427.3,1715.18,1516.35,715.75,531.28,0.0,2535.03,0.573,0.205,0.059,3445.33,Preferred
HO2026000815,2025-08-14,2026-08-09,SC,Benton,31878,TenantOccupied,MobileHome,Slab,AsphaltShingle,,1945,2,2119,4,Burglar,X,22.0,27,24,0,42,0,158000,16000,64000,32000,10000,0,25,971.83,371.88,213.8,136.06,116.62,133.47,549.49,0.565,0.268,0.072,831.69,Preferred
HO2026000816,2021-12-18,2022-12-13,SC,Marion,94657,OwnerOccupied,Masonry,Crawlspace,Metal,Poor,2023,2,3428,8,BurglarAndFire,VE,26.2,28,59,88,79,0,638000,61000,378000,114000,1000,10000,10,2488.32,1039.17,1094.86,493.52,497.66,0.0,1198.25,0.482,0.312,0.022,1800.63,NonStandard
HO2026000817,2021-11-21,2022-11-16,NJ,Union,57956,TenantOccupied,Masonry,Basement,Metal,Fair,1961,2,2161,10,None,AE,14.3,15,26,14,58,0,351000,38000,149000,67000,1000,10000,10,2257.34,1062.31,575.62,323.55,451.47,0.0,1019.1,0.451,0.226,0.055,1417.79,Preferred
HO2026000818,2022-09-03,2023-08-29,FL,Marion,98900,SecondarySeasonal,MobileHome,Piers,Metal,Good,1949,1,1965,8,Fire,X,9.8,32,56,86,44,0,306000,39000,153000,72000,1000,0,10,4239.96,2245.56,1844.38,819.73,508.8,0.0,2196.78,0.518,0.237,0.077,3204.83,Standard
HO2026000819,2024-11-29,2025-11-24,GA,Cleveland,84159,OwnerOccupied,MobileHome,Piers,FlatMembrane,Poor,1954,2,2549,8,Burglar,VE,10.5,38,32,0,50,0,428000,35000,180000,111000,2500,0,10,4930.1,1606.01,1084.62,755.95,986.02,497.5,3455.33,0.701,0.26,0.05,5011.61,Standard
HO2026000820,2024-06-03,2025-05-29,PA,Jefferson,86527,Vacant,Superior,Slab,Metal,Fair,1966,1,2104,5,None,AE,31.0,54,25,52,42,0,536000,56000,206000,80000,1000,0,25,2889.41,1419.66,1011.29,409.33,577.88,0.0,1114.22,0.386,0.258,0.068,1652.66,Standard
HO2026000821,2024-08-17,2025-08-12,OR,Marion,74685,SecondarySeasonal,Masonry,Crawlspace,Tile,Good,1940,1,745,6,BurglarAndFire,VE,16.8,19,30,18,49,0,111000,12000,80000,18000,1000,0,50,593.84,223.88,157.37,89.08,118.77,4.75,377.01,0.635,0.316,0.056,600.94,Preferred
HO2026000822,2022-03-21,2023-03-16,GA,Lake,59936,OwnerOccupied,Masonry,Piers,WoodShake,Good,2018,1,2123,5,BurglarAndFire,VE,18.8,31,69,37,43,1,392000,53000,190000,89000,2500,5000,50,2154.93,875.12,673.42,463.31,430.99,0.0,1191.5,0.553,0.286,0.064,1833.85,Standard
HO2026000823,2025-07-03,2026-06-28,PA,Greene,60149,TenantOccupied,MobileHome,Piers,Metal,Fair,1953,2,1440,6,None,AE,9.8,18,39,8,75,0,181000,17000,74000,50000,1000,10000,10,1241.19,576.32,297.88,204.8,248.24,0.0,813.24,0.655,0.343,0.074,1395.14,Preferred
HO2026000824,2021-10-31,2022-10-26,LA,Washington,35305,Vacant,Frame,Basement,AsphaltShingle,New,1999,1,3676,5,None,VE,26.9,62,61,0,58,0,783000,62000,314000,149000,2500,0,10,5159.17,2163.37,1135.02,1040.43,1031.83,0.0,3247.89,0.63,0.284,0.033,4753.05,Standard
HO2026000825,2024-04-01,2025-03-27,AZ,Lake,80893,SecondarySeasonal,Frame,Crawlspace,Metal,Fair,1974,1,1406,7,Burglar,X,80.4,84,4,0,10,0,217000,21000,104000,37000,2000,25000,10,1440.99,595.77,317.02,153.71,172.92,201.58,1070.34,0.743,0.274,0.068,1626.32,Preferred
HO2026000826,2025-05-06,2026-05-01,SC,Lincoln,61991,SecondarySeasonal,Masonry,Basement,AsphaltShingle,Poor,1992,1,1982,7,Burglar,X,15.3,40,55,53,55,0,405000,46000,222000,67000,1000,0,10,3156.59,1077.67,1112.7,605.01,378.79,0.0,1830.63,0.58,0.308,0.096,3070.23,Standard
